,File Name,Mean,Median,Var,Std,Min,Max
76,TxRx70_ARQ1-1_PASSIVE-PASSIVE_RTO2_DC05_5messages.dat,6128408.815,6072582.0,1334336779552.2405,1155134.9616180095,2789185,10599957
77,TxRx70_ARQ1-1_PASSIVE-PASSIVE_RTO2_DC05_5messages_decomposing1.dat,6165595.447,6097895.0,1398655677254.0552,1182647.740138227,3056096,10406192
78,TxRx70_ARQ1-1_PASSIVE-PASSIVE_RTO2_DC05_5messages_decomposing2.dat,6175387.275,6046189.5,1469102822602.9275,1212065.5191048575,3107362,10747205
79,TxRx70_ARQ1-1_PASSIVE-PASSIVE_RTO2_DC05_5messages_decomposing3.dat,6150836.91,6130196.0,1373417857847.8098,1171929.118098791,2707796,10085112
80,TxRx70_ARQ1-1_PASSIVE-PASSIVE_RTO2_DC05_10messages.dat,12057753.968,11975093.0,2671912605440.349,1634598.6068268714,7292600,17112497
81,TxRx70_ARQ1-1_PASSIVE-PASSIVE_RTO2_DC05_10messages_decomposing1.dat,12264850.595,12197979.0,2850352423297.495,1688298.6771591972,6255983,17842030
82,TxRx70_ARQ1-1_PASSIVE-PASSIVE_RTO2_DC05_10messages_decomposing2.dat,12338258.57,12295026.0,2714269633768.915,1647504.0618368487,7780420,19476093
83,TxRx70_ARQ1-1_PASSIVE-PASSIVE_RTO2_DC05_10messages_decomposing3.dat,12228463.612,12136578.5,2780103483001.807,1667364.2322545506,8136454,18684728
84,TxRx70_ARQ20-20_PASSIVE-PASSIVE_RTO2_DC05_1messages.dat,138762.938,120593.5,10121898020.064156,100607.6439445043,3948,528271
85,TxRx70_ARQ20-20_PASSIVE-PASSIVE_RTO2_DC05_1messages_decomposing1.dat,140536.846,122720.5,10039683897.298283,100198.2230246539,3784,528649
86,TxRx70_ARQ20-20_PASSIVE-PASSIVE_RTO2_DC05_1messages_decomposing2.dat,146173.583,132585.0,10192294513.999111,100956.89433614284,3274,673429
87,TxRx70_ARQ20-20_PASSIVE-PASSIVE_RTO2_DC05_1messages_decomposing3.dat,145388.303,126761.5,10428139703.08319,102118.26331799416,2978,631014
88,TxRx70_ARQ20-20_PASSIVE-PASSIVE_RTO2_DC05_5messages.dat,659748.805,635291.0,46095911430.34297,214699.58414105736,174076,1464063
89,TxRx70_ARQ20-20_PASSIVE-PASSIVE_RTO2_DC05_5messages_decomposing1.dat,669816.814,657277.0,47160760899.42741,217165.2847474186,97385,1429853
90,TxRx70_ARQ20-20_PASSIVE-PASSIVE_RTO2_DC05_5messages_decomposing2.dat,687367.773,672996.5,49728162219.94747,222998.12156147746,107425,1443397
91,TxRx70_ARQ20-20_PASSIVE-PASSIVE_RTO2_DC05_5messages_decomposing3.dat,677970.922,668879.0,50340815267.96992,224367.58961126697,136383,1439635
92,TxRx70_ARQ20-20_PASSIVE-PASSIVE_RTO2_DC05_10messages.dat,1211719.404,1193758.5,78792306131.56879,280699.6724821188,453045,2130204
93,TxRx70_ARQ20-20_PASSIVE-PASSIVE_RTO2_DC05_10messages_decomposing1.dat,1314010.543,1294137.5,101083108462.47813,317935.69862863485,439075,2619213
94,TxRx70_ARQ20-20_PASSIVE-PASSIVE_RTO2_DC05_10messages_decomposing2.dat,1365956.498,1354223.0,94536493194.176,307467.87343424355,483037,2374728
95,TxRx70_ARQ20-20_PASSIVE-PASSIVE_RTO2_DC05_10messages_decomposing3.dat,1367620.999,1344169.0,104078663385.347,322612.2492797615,578169,2466755
96,TxRx70_ARQ40-40_PASSIVE-PASSIVE_RTO2_DC05_1messages.dat,69719.488,53528.5,3627367414.4458556,60227.62999193855,2649,329653
97,TxRx70_ARQ40-40_PASSIVE-PASSIVE_RTO2_DC05_1messages_decomposing1.dat,63885.101,45038.5,3466412053.0007997,58876.24353676786,2635,372205
98,TxRx70_ARQ40-40_PASSIVE-PASSIVE_RTO2_DC05_1messages_decomposing2.dat,63775.657,47509.0,3149709167.581351,56122.269800689195,2656,299058
99,TxRx70_ARQ40-40_PASSIVE-PASSIVE_RTO2_DC05_1messages_decomposing3.dat,65055.413,46463.0,3538192064.968431,59482.70391440213,3041,334387
100,TxRx70_ARQ40-40_PASSIVE-PASSIVE_RTO2_DC05_5messages.dat,294301.192,284739.0,14586728150.081137,120775.52794370694,43298,820472
101,TxRx70_ARQ40-40_PASSIVE-PASSIVE_RTO2_DC05_5messages_decomposing1.dat,309056.099,293661.0,17123435109.333199,130856.54400653105,66183,784246
102,TxRx70_ARQ40-40_PASSIVE-PASSIVE_RTO2_DC05_5messages_decomposing2.dat,311800.397,295713.0,16828170113.85339,129723.43702605706,65369,873125
103,TxRx70_ARQ40-40_PASSIVE-PASSIVE_RTO2_DC05_5messages_decomposing3.dat,314835.451,301374.0,16970741795.167597,130271.79969267178,56002,874022
104,TxRx70_ARQ40-40_PASSIVE-PASSIVE_RTO2_DC05_10messages.dat,558418.035,540984.0,29212089625.593773,170915.44583680487,161352,1195267
105,TxRx70_ARQ40-40_PASSIVE-PASSIVE_RTO2_DC05_10messages_decomposing1.dat,595415.585,574563.5,33393599312.280773,182739.15648344439,195432,1262502
106,TxRx70_ARQ40-40_PASSIVE-PASSIVE_RTO2_DC05_10messages_decomposing2.dat,615858.741,598962.5,34642420084.801926,186124.74334381748,216933,1239699
107,TxRx70_ARQ40-40_PASSIVE-PASSIVE_RTO2_DC05_10messages_decomposing3.dat,614881.444,595201.0,36948778010.31087,192220.6492817847,172298,1539939
108,TxRx90_ARQ1-1_PASSIVE-PASSIVE_RTO2_DC05_1messages.dat,2522044.052,2457055.0,1098741539982.5073,1048208.7292054514,127465,6539167
109,TxRx90_ARQ1-1_PASSIVE-PASSIVE_RTO2_DC05_1messages_decomposing1.dat,2499482.37,2450508.0,1167220284292.269,1080379.6945020158,181532,6894387
110,TxRx90_ARQ1-1_PASSIVE-PASSIVE_RTO2_DC05_1messages_decomposing2.dat,2585784.385,2515647.5,1140681426469.7908,1068026.8847130165,260025,7098682
111,TxRx90_ARQ1-1_PASSIVE-PASSIVE_RTO2_DC05_1messages_decomposing3.dat,2620111.561,2478208.5,1292384165760.7244,1136830.7551085714,19888,6214251
112,TxRx90_ARQ1-1_PASSIVE-PASSIVE_RTO2_DC05_5messages.dat,12558154.545,12423213.0,5594592388021.504,2365289.070710281,5720151,20000244
113,TxRx90_ARQ1-1_PASSIVE-PASSIVE_RTO2_DC05_5messages_decomposing1.dat,12774296.028,12724963.0,6045600469835.758,2458780.280918927,6150420,21016442
114,TxRx90_ARQ1-1_PASSIVE-PASSIVE_RTO2_DC05_5messages_decomposing2.dat,12633982.05,12496361.5,5168875059875.388,2273516.0126718674,6152717,22959196
115,TxRx90_ARQ1-1_PASSIVE-PASSIVE_RTO2_DC05_5messages_decomposing3.dat,12827633.816,12718681.5,5983771256146.366,2446174.8212559065,5218953,22691382
116,TxRx90_ARQ1-1_PASSIVE-PASSIVE_RTO2_DC05_10messages.dat,23735271.965,24999999.0,3431786439888.5073,1852508.1484000299,14712470,24999999
117,TxRx90_ARQ1-1_PASSIVE-PASSIVE_RTO2_DC05_10messages_decomposing1.dat,23820975.653,24999999.0,3146409603148.6646,1773812.1668171815,15174277,24999999
118,TxRx90_ARQ1-1_PASSIVE-PASSIVE_RTO2_DC05_10messages_decomposing2.dat,23999288.332,24999999.0,2886749978610.662,1699043.8424627723,15110256,24999999
119,TxRx90_ARQ1-1_PASSIVE-PASSIVE_RTO2_DC05_10messages_decomposing3.dat,23759977.812,24999999.0,3671970277420.603,1916238.5752876918,15291087,24999999
120,TxRx90_ARQ20-20_PASSIVE-PASSIVE_RTO2_DC05_1messages.dat,313953.053,289770.5,41124869713.17019,202792.6766753923,5176,1065210
121,TxRx90_ARQ20-20_PASSIVE-PASSIVE_RTO2_DC05_1messages_decomposing1.dat,314334.114,284990.0,42352960548.671,205798.3492369922,4562,1334761
122,TxRx90_ARQ20-20_PASSIVE-PASSIVE_RTO2_DC05_1messages_decomposing2.dat,318402.882,291702.5,45083757830.794075,212329.36167848777,7664,1307000
123,TxRx90_ARQ20-20_PASSIVE-PASSIVE_RTO2_DC05_1messages_decomposing3.dat,314830.972,285652.5,46214284095.21721,214975.0778467523,4504,1207528
124,TxRx90_ARQ20-20_PASSIVE-PASSIVE_RTO2_DC05_5messages.dat,1422525.613,1386296.5,182290422305.86926,426954.82466634485,360995,2935956
125,TxRx90_ARQ20-20_PASSIVE-PASSIVE_RTO2_DC05_5messages_decomposing1.dat,1503489.81,1448870.5,227484309206.00186,476953.1520034246,203385,3159408
126,TxRx90_ARQ20-20_PASSIVE-PASSIVE_RTO2_DC05_5messages_decomposing2.dat,1508578.045,1498415.0,220423191011.17697,469492.48237983213,322318,2913155
127,TxRx90_ARQ20-20_PASSIVE-PASSIVE_RTO2_DC05_5messages_decomposing3.dat,1521420.713,1497553.0,220703236472.27863,469790.6304645492,267020,3519847
128,TxRx90_ARQ20-20_PASSIVE-PASSIVE_RTO2_DC05_10messages.dat,2697647.134,2696409.5,341744912996.4501,584589.5252195767,828563,4652201
129,TxRx90_ARQ20-20_PASSIVE-PASSIVE_RTO2_DC05_10messages_decomposing1.dat,2979289.981,2953115.0,468567253185.0866,684519.7244675179,977354,5457642
130,TxRx90_ARQ20-20_PASSIVE-PASSIVE_RTO2_DC05_10messages_decomposing2.dat,3017065.294,2984401.0,448880741803.2875,669985.6280572647,973677,5340808
131,TxRx90_ARQ20-20_PASSIVE-PASSIVE_RTO2_DC05_10messages_decomposing3.dat,3046840.037,3009683.5,417249757652.07367,645948.7267980902,1257755,5426327
132,TxRx90_ARQ40-40_PASSIVE-PASSIVE_RTO2_DC05_1messages.dat,147348.916,114705.0,15527045837.922945,124607.56733811532,3835,681800
133,TxRx90_ARQ40-40_PASSIVE-PASSIVE_RTO2_DC05_1messages_decomposing1.dat,158107.657,126849.0,17949567651.40935,133975.99654941683,3807,675228
134,TxRx90_ARQ40-40_PASSIVE-PASSIVE_RTO2_DC05_1messages_decomposing2.dat,151662.045,120184.0,14744719905.410976,121427.83826376461,5078,652550
135,TxRx90_ARQ40-40_PASSIVE-PASSIVE_RTO2_DC05_1messages_decomposing3.dat,149125.69,116607.5,15132079413.1559,123012.5173027359,4717,693224
136,TxRx90_ARQ40-40_PASSIVE-PASSIVE_RTO2_DC05_5messages.dat,689049.687,657735.5,77226302501.08102,277896.2081444816,81737,1810900
137,TxRx90_ARQ40-40_PASSIVE-PASSIVE_RTO2_DC05_5messages_decomposing1.dat,701395.884,691623.5,74106745117.89055,272225.5408992524,107768,1961986
138,TxRx90_ARQ40-40_PASSIVE-PASSIVE_RTO2_DC05_5messages_decomposing2.dat,714999.877,682523.0,84599898167.05188,290860.6163904833,84656,2419432
139,TxRx90_ARQ40-40_PASSIVE-PASSIVE_RTO2_DC05_5messages_decomposing3.dat,725665.93,700758.0,76957878925.5771,277412.8312201458,138265,1855287
140,TxRx90_ARQ40-40_PASSIVE-PASSIVE_RTO2_DC05_10messages.dat,1278972.188,1246783.5,139790606496.86267,373885.8201334502,338294,3125886
141,TxRx90_ARQ40-40_PASSIVE-PASSIVE_RTO2_DC05_10messages_decomposing1.dat,1372192.044,1339960.5,152183615223.65005,390107.1842758732,361039,2681393
142,TxRx90_ARQ40-40_PASSIVE-PASSIVE_RTO2_DC05_10messages_decomposing2.dat,1413672.322,1382207.5,160946742623.6463,401181.6828117235,468648,2898440
143,TxRx90_ARQ40-40_PASSIVE-PASSIVE_RTO2_DC05_10messages_decomposing3.dat,1410597.711,1390643.0,162486046923.31747,403095.58038177184,407969,3155682
